thesau_%0;term;term.soort;term.status;use_count;narrower_term;broader_term;related_term;equivalent_term;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28064;Nederlands;taal#land#nationaliteit#niveau#geografisch trefwoord#onderwerp;descriptor;95625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3698;Tijdschrift;uitleencategorie#materiaalsoort#onderwerp;descriptor;46001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7134;Tekenaar;rol#onderwerp;descriptor;42801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27473;Engels;taal#onderwerp#nationaliteit#niveau;descriptor;32055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22364;Calque;onderwerp#objectnaam#techniek;descriptor;30051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89394;kerken;onderwerp#gemeente;descriptor;28451;basilieken#bedevaartskerken#begijnkerken#centraalbouw#hallekerken#kapittelkerken#kathedralen#kloosterkerken#koepelkerken#munsterkerken#noodkerken#parochiekerken#schuilkerken#zaalkerken;religieuze gebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27237;Schenking;onderwerp#verwervingsmethode#archief event;descriptor;22895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34381;prospectie;onderwerp#onderzoek/gebruik methode;descriptor;19859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18824;Duits;taal#onderwerp#geografisch trefwoord;descriptor;14995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88989;windmolens;onderwerp;descriptor;12709;aanbrengertjes#beltmolens#bosmanmolentjes#grondzeilers#paltrokken#spinnenkoppen#standerdmolens#stellingmolens#tjaskers#torenmolens#weidemolens#windmotors#windturbines#wipmolens;molens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89995;kastelen;onderwerp#objectnaam;descriptor;11515;jachtsloten#lustsloten;buitenplaatsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3928;Restauratie;onderwerp;descriptor;9767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1473;Schilderingen;onderwerp#objectnaam#collectie;descriptor;9746;;;Schildering op doek#Schildering op hout#Schildering op papier#Schildering op pleister#Schildering op stuc#schildering op koper#schildering op metaalachtige ondergronden#schildering op steenachtige ondergronden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93700;Romeinse tijd;onderwerp#periode;descriptor;9124;laat Romeinse tijd#midden Romeinse tijd#vroeg Romeinse tijd;Protohistorie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93711;middeleeuwen;onderwerp#eigennaam;descriptor;8723;late middeleeuwen#vroege middeleeuwen;Historie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77265;Collectie Archeologie;collectie#onderwerp;kandidaat;8432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89068;korenmolens;onderwerp;descriptor;8319;;industriemolens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36192;booronderzoek;onderwerp#onderzoek/gebruik methode#objectnaam;kandidaat;7644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88917;molens;onderwerp;descriptor;7295;diermolens/mensmolens#industriemolens#middelmolens#middenkruiers#molenfuncties#molentypes#motorzaagmolens#poldermolens#schepradmolens#seinmolens#watermolens#waterradmolens#watervluchtmolens#windmolens#windwatermolens;nijverheidsgebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93720;Nieuwe Tijd;onderwerp#onderzoek/gebruik methode;descriptor;6600;Nieuwe Tijd A#Nieuwe Tijd B#Nieuwe Tijd C;Historie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12947;Catalogus;onderwerp#materiaalsoort;descriptor;6459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412;Wederopbouw;geografisch trefwoord#onderwerp#periode;descriptor;6158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Documentatie;materiaalsoort#collectie#onderwerp#rol#uitleencategorie;descriptor;5811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89994;buitenplaatsen;onderwerp;descriptor;5436;kastelen;woningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1343;Houtconstructie;onderwerp;descriptor;5155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;archeologie;onderwerp;descriptor;5042;maritieme archeologie#onderwaterarcheologie#scheepsarcheologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;Jaarboek;uitleencategorie#materiaalsoort#onderwerp;descriptor;4973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20810;Gebrandschilderd glas;onderwerp#objectnaam;descriptor;4947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89000;stellingmolens;onderwerp;descriptor;4302;achtkante stellingmolens#ronde stenen stellingmolens#zeskante stellingmolens;windmolens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34321;orgels;onderwerp;descriptor;4222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
